gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description,
CCDC86,2194.43688,-1.650406043,0.100882098,4.87E-61,1.47E-59,79080,coiled-coil domain containing 86,
PGP,1337.104935,-1.758935372,0.107560355,4.88E-61,1.47E-59,283871,phosphoglycolate phosphatase,
CCNE1,882.5808569,-1.354977628,0.082821852,6.38E-61,1.92E-59,898,cyclin E1,
GTPBP4,4232.332301,-1.086607254,0.066374735,7.76E-61,2.34E-59,23560,GTP binding protein 4,
DDX46,5768.163348,-1.008550623,0.061667883,9.23E-61,2.77E-59,9879,DEAD-box helicase 46,
DNAJB2,3734.463751,1.587452155,0.097259448,1.03E-60,3.09E-59,3300,DnaJ heat shock protein family (Hsp40) member B2,
ZNF649,913.7466749,-1.241408873,0.075976173,1.08E-60,3.24E-59,65251,zinc finger protein 649,
MOSPD1,2370.692138,1.277150559,0.078222627,1.29E-60,3.86E-59,56180,motile sperm domain containing 1,
GSDMB,651.8139649,1.599357726,0.09817366,1.62E-60,4.85E-59,55876,gasdermin B,
KLF8,307.0957377,1.669052559,0.102584044,2.27E-60,6.80E-59,11279,KLF transcription factor 8,
SUN3,1729.756179,1.680481975,0.103309679,2.33E-60,6.96E-59,256979,Sad1 and UNC84 domain containing 3,
MSH6,6108.683559,-1.043532832,0.064010856,2.44E-60,7.26E-59,2956,mutS homolog 6,
CHD2,3355.026227,1.031782635,0.063309618,2.99E-60,8.90E-59,1106,chromodomain helicase DNA binding protein 2,
FBXO32,10389.20123,1.682398138,0.103532606,3.10E-60,9.21E-59,114907,F-box protein 32,
ORC3,1193.798493,-1.126393251,0.06923666,3.95E-60,1.17E-58,23595,origin recognition complex subunit 3,
RTN2,310.2375464,1.760195495,0.108607472,6.48E-60,1.92E-58,6253,reticulon 2,
PDP1,5631.20354,1.000640503,0.061574554,6.78E-60,2.00E-58,54704,pyruvate dehydrogenase phosphatase catalytic subunit 1,
TIMM21,1366.961928,-1.163545303,0.071785652,1.01E-59,2.99E-58,29090,translocase of inner mitochondrial membrane 21,
ZNF551,1593.460637,-1.081824842,0.066741448,1.13E-59,3.32E-58,90233,zinc finger protein 551,
CDA,3062.021132,1.152641032,0.071139515,1.16E-59,3.41E-58,978,cytidine deaminase,
VARS,7993.681317,-1.181560454,0.07300122,1.42E-59,4.17E-58,NA,NA,
POLR1B,3013.856709,-1.236260466,0.076449844,1.70E-59,4.98E-58,84172,RNA polymerase I subunit B,
KIAA1522,3842.342405,1.073726627,0.06634745,1.83E-59,5.36E-58,NA,NA,
PSG9,128.1704831,2.719558088,0.168583853,2.02E-59,5.93E-58,5678,pregnancy specific beta-1-glycoprotein 9,
RP11-492E3.1,2273.286037,1.225402274,0.075858582,2.43E-59,7.12E-58,NA,NA,
ALYREF,2697.70494,-1.390238227,0.086172042,2.52E-59,7.38E-58,10189,Aly/REF export factor,
LIMS2,209.3610272,2.088521106,0.129717471,3.26E-59,9.51E-58,55679,LIM zinc finger domain containing 2,
SPRED2,1216.637953,-1.275539764,0.079194394,4.43E-59,1.29E-57,200734,sprouty related EVH1 domain containing 2,
TCHP,785.0833705,-1.235387771,0.076722569,5.09E-59,1.48E-57,84260,trichoplein keratin filament binding,
EIF5A,23964.15283,-1.105176614,0.068515094,7.53E-59,2.19E-57,1984,eukaryotic translation initiation factor 5A,
FAM72B,107.2418013,-3.227834708,0.201214351,8.98E-59,2.60E-57,653820,family with sequence similarity 72 member B,
DYRK1B,263.3301975,1.984844694,0.123845407,1.05E-58,3.03E-57,9149,dual specificity tyrosine phosphorylation regulated kinase 1B,
KLHL23,577.163681,-1.236475909,0.077056625,1.23E-58,3.55E-57,151230,kelch like family member 23,
DUSP5,1155.048334,-1.951364053,0.121943878,1.24E-58,3.58E-57,1847,dual specificity phosphatase 5,
S1PR2,281.1288985,1.733703539,0.108199683,1.31E-58,3.78E-57,9294,sphingosine-1-phosphate receptor 2,
RNASEH1,1787.400277,-1.078596207,0.067226838,1.63E-58,4.69E-57,246243,ribonuclease H1,
ZNF836,773.6457057,1.376638357,0.085932759,1.67E-58,4.80E-57,162962,zinc finger protein 836,
CD24,2660.893613,1.147049821,0.07157705,2.05E-58,5.90E-57,100133941,CD24 molecule,
GALC,3512.024808,1.025048874,0.063909087,2.07E-58,5.92E-57,2581,galactosylceramidase,
PINK1,1689.719302,1.201169787,0.07500423,2.30E-58,6.59E-57,65018,PTEN induced kinase 1,
DYSF,1457.058182,1.034279965,0.064544886,2.49E-58,7.14E-57,8291,dysferlin,
RAB5B,7112.559449,1.051055085,0.065633189,2.85E-58,8.14E-57,5869,"RAB5B, member RAS oncogene family",
GPD1L,949.1602954,-1.11250813,0.069522556,3.15E-58,9.00E-57,23171,glycerol-3-phosphate dehydrogenase 1 like,
ATR,3319.951529,-1.088480152,0.068017919,3.16E-58,9.02E-57,545,ATR serine/threonine kinase,
CDK6,2092.322932,-1.003730142,0.062733415,3.79E-58,1.08E-56,1021,cyclin dependent kinase 6,
STAP2,1490.813409,1.215976956,0.076089936,3.99E-58,1.13E-56,55620,signal transducing adaptor family member 2,
COTL1,27227.81136,-1.017447305,0.063224566,5.86E-58,1.66E-56,23406,coactosin like F-actin binding protein 1,
NEK8,584.2356804,1.251307632,0.078510152,7.39E-58,2.09E-56,284086,NIMA related kinase 8,
