gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,entrez_id,description
SLC25A2,1.214400354,-0.025862947,0.557765535,0.916059896,0.948324635,83884,solute carrier family 25 member 2
RP4-633I8.1,3.431154193,0.032295409,0.487061392,0.916246493,0.948428383,NA,NA
RP1-56K13.2,1.359410734,0.02683374,0.551541732,0.916267914,0.948428383,NA,NA
RP5-931E15.4,1.359410734,0.02683374,0.551541732,0.916267914,0.948428383,NA,NA
AC078994.2,9.280701552,0.032375699,0.388672901,0.916328707,0.948454114,NA,NA
RP11-443A13.4,2.101997009,0.026413901,0.55584113,0.916455443,0.948548094,NA,NA
FRG2C,1.230997066,-0.024553934,0.56490769,0.916532146,0.948553625,100288801,FSHD region gene 2 family member C
RP1-313I6.12,89.9834071,-0.01714284,0.172318555,0.916532663,0.948553625,NA,NA
FAM86KP,3.708567802,0.032687983,0.463994618,0.91677778,0.948658514,100287013,"family with sequence similarity 86 member K, pseudogene"
RP11-332J15.1,1.475484743,-0.026467952,0.55078375,0.91677168,0.948658514,NA,NA
RP11-541M12.3,1.479604763,-0.026891297,0.547480764,0.916716471,0.948658514,NA,NA
AC005253.2,38.18356362,0.02285192,0.232398482,0.916689041,0.948658514,NA,NA
RP11-562P17.2,1.3562388,0.026462842,0.55295442,0.91685144,0.948697542,NA,NA
CTA-150C2.13,1.248473741,-0.025193306,0.559880538,0.916895462,0.9487059,NA,NA
SNX13,2815.980345,0.007049358,0.065678677,0.916980278,0.94872971,23161,sorting nexin 13
RP11-473M14.2,1.225620737,-0.02552824,0.557848574,0.916990362,0.94872971,NA,NA
COL6A6,1.481929776,-0.026511905,0.549663032,0.91703317,0.94873681,131873,collagen type VI alpha 6 chain
RP5-905H16.2,7.179994075,0.032555554,0.41166113,0.917241528,0.948863424,NA,NA
NLRP14,1.269309266,-0.025265482,0.558232649,0.917263403,0.948863424,338323,NLR family pyrin domain containing 14
RP11-158I9.5,8.235225453,0.032637482,0.416727347,0.917259607,0.948863424,NA,NA
RP11-230F18.2,1.236174611,-0.02356176,0.569081429,0.917423507,0.948976105,NA,NA
RNF212B,1.474989077,-0.026960529,0.544995438,0.917451383,0.948976105,100507650,ring finger protein 212B
RP11-432I5.2,1.232203625,-0.024267293,0.564906972,0.917480195,0.948976105,NA,NA
RP11-467C18.1,1.33946834,0.026556532,0.550777644,0.917572024,0.948998971,NA,NA
PPP2CB,2229.615903,0.008646341,0.083499063,0.917574212,0.948998971,5516,protein phosphatase 2 catalytic subunit beta
ZNF773,764.0453782,-0.010923948,0.107902151,0.917682958,0.949074253,374928,zinc finger protein 773
RP11-404F10.1,1.35139779,0.025240397,0.559527972,0.917795028,0.949116777,NA,NA
MATN3,265.7938031,0.010695077,0.104013709,0.917831955,0.949116777,4148,matrilin 3
AC023485.1,2.930650975,0.030618081,0.508359439,0.917812265,0.949116777,NA,NA
GHc-857G6.7,2.979834129,0.030549665,0.50732319,0.917963376,0.949215489,NA,NA
NDST2,14.89700019,-0.027070252,0.308805307,0.91827367,0.949499148,8509,N-deacetylase and N-sulfotransferase 2
RP5-1115A15.1,2.259192817,-0.027845157,0.530748815,0.91845556,0.949575622,NA,NA
RF02249,1.630370237,0.025514198,0.556545152,0.918448532,0.949575622,NA,NA
CTD-3075F15.1,1.57949039,0.027341524,0.542686807,0.918410824,0.949575622,NA,NA
ZNF525,3137.176791,-0.006565613,0.064759162,0.918504868,0.949589404,170958,zinc finger protein 525
RP1-40E16.12,15.53281084,0.027705456,0.307892649,0.918607556,0.94965837,NA,NA
RP13-100A9.2,1.351546878,0.025907081,0.552876893,0.918649955,0.949665006,NA,NA
MIR6784,3.449418154,0.031545669,0.480511632,0.918692873,0.949672177,102465470,microRNA 6784
CD52,1.35274876,0.026242255,0.548602689,0.919287992,0.949684076,1043,CD52 molecule
RP11-344P13.3,1.241222464,-0.025543277,0.552119976,0.91926782,0.949684076,NA,NA
AC013472.6,1.241722807,-0.025565721,0.552118596,0.919195678,0.949684076,NA,NA
FLNB,32369.19851,-0.018306521,0.097087793,0.919352043,0.949684076,2317,filamin B
RP11-323F5.1,5.346063691,-0.03104117,0.432105425,0.919031044,0.949684076,NA,NA
THAP6,504.4685782,-0.009478774,0.095437959,0.919168564,0.949684076,152815,THAP domain containing 6
RP11-2J18.1,1.74229135,-0.02705177,0.537547894,0.919259609,0.949684076,NA,NA
CTA-276O3.1,3.660188376,0.031596791,0.479554209,0.918820603,0.949684076,NA,NA
RP11-65D17.1,4.801723881,-0.031127358,0.438219645,0.918994007,0.949684076,NA,NA
SPTLC1,3052.113546,0.005476556,0.053270565,0.919137125,0.949684076,10558,serine palmitoyltransferase long chain base subunit 1
RP11-444I9.2,12.64974465,0.028928582,0.332740007,0.9191932,0.949684076,NA,NA
RP5-903G2.2,3.191819982,0.03130496,0.486644339,0.918898901,0.949684076,NA,NA
RP11-571M6.18,4.827563731,-0.030971434,0.440708512,0.919323753,0.949684076,NA,NA
RP11-255G12.3,1.259383547,-0.02501197,0.556267456,0.91905388,0.949684076,NA,NA
AC092338.5,5.099838328,0.03213469,0.44318204,0.918795274,0.949684076,NA,NA
RP11-68I3.11,5.34431058,-0.030982502,0.431309906,0.919150312,0.949684076,NA,NA
NTF6B,1.240645886,-0.02486354,0.55795424,0.918939406,0.949684076,4911,neurotrophin 6 beta (pseudogene)
RP11-528B10.4,1.58203132,0.027457109,0.539442139,0.919079982,0.949684076,NA,NA
KRT8P28,1.494706148,-0.026437999,0.543261056,0.919472834,0.949734512,391099,keratin 8 pseudogene 28
RP13-638C3.5,1.349839976,0.025655544,0.552854385,0.919455676,0.949734512,NA,NA
AC084117.3,3.502628546,0.031337213,0.473345428,0.919526523,0.9497528,NA,NA
FAHD1,1988.540873,0.007409325,0.074057142,0.919619976,0.949812156,81889,fumarylacetoacetate hydrolase domain containing 1
RP11-205M20.7,5.117081835,-0.030688781,0.42867117,0.919867118,0.950030236,NA,NA
RP11-244J10.1,15.85943047,0.027112455,0.305266039,0.920003159,0.950133559,NA,NA
TPO,2.463306432,-0.027869452,0.523782959,0.920150707,0.950156327,7173,thyroid peroxidase
AC104695.4,6.094697051,0.031503074,0.421351234,0.9202052,0.950156327,NA,NA
DPY30,1697.050875,-0.009871965,0.105087055,0.920191619,0.950156327,84661,dpy-30 histone methyltransferase complex regulatory subunit
ITIH3,1.24448906,-0.024478888,0.557968871,0.920135639,0.950156327,3699,inter-alpha-trypsin inhibitor heavy chain 3
RP11-480N24.4,1.262868909,-0.024642932,0.55628635,0.920192283,0.950156327,NA,NA
HIST2H2BB,1.494987723,-0.025395978,0.54978863,0.92032509,0.950242946,NA,NA
