pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_KRAS_SIGNALING_UP,0.34973166368515207,0.4857384217849334,0.07156731649489641,0.36094404661331553,1.019807846848422,165,6696;10457;3486;3728;629;3398;6590;4013;80201;4320;6868;2745;5801;6324;6480;1520
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.38979659886628876,0.52675216063012,0.0196328297361647,-0.466676243004667,-1.0460483948109025,184,292;8402;51318;26519;80273;1737;92609;1431;7416;56993;3419;10939;211;54205;10884;2821;2806;3945;2271;3313;4552;6390;9868;5435;29088;7419;4722;10128;23203;1537;3028;4976;6183;11331;56945;10989;8802;64963;788;5160;10440;4726;2395;26517;4706;8604;4700;4719;3939;9927;26520;7386;65003
HALLMARK_ANDROGEN_RESPONSE,0.4279149913842619,0.5586897903545168,0.05086780157609256,0.3813971357417915,0.9999400977487032,95,51171;4094;10397;79689;8555;10611;8611;8848;7113;3685;11099;8031;54407;65986;6303;2683;9871;3856;3880;10627;84159;6446;6319;10513;567;8821
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.4357780364765231,0.5586897903545168,0.040572153621248414,0.43129032557019553,1.003525089620312,46,2512;6648;7296;9124;2745;847;2878
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.4614604462474645,0.5768255578093306,0.06611612031994309,0.3463880518731513,0.9908255084285919,191,10957;1942;3593;1827;57007;1326;6648;8878;3398;7050;10611;8744;9516;8848;55332;5791;604;9120;8553;6385;65986;6303;64135;8837;3383;2683;5187;6347;8660;687;8942;80149;2355;4616;6446;4783;8303;2920;467;23645;6515;602;6352;2921;1026;1316;4814;6776;6890;7124
HALLMARK_APICAL_SURFACE,0.48389345976851206,0.5901139753274537,0.019793385157014717,-0.5250262793025215,-1.0012574448296538,37,672;131566
HALLMARK_PANCREAS_BETA_CELLS,0.5010432190760059,0.5964800227095308,0.020274420797359763,-0.5600798801135742,-0.995224578779687,22,3170;58477;7421;28972
HALLMARK_IL2_STAT5_SIGNALING,0.58772910147519,0.6834059319478953,0.013699777582078876,-0.42496545222442944,-0.9501797431992338,175,2118;990;3655;4907;81848;7371;7372;896;22822;898;200734;9173;7052;4953;84230;2184;598;64116;8809;7133;4860;84306;5621;4609;191;80324;55509;28960;9308;6004;10124;51651;253558
HALLMARK_PEROXISOME,0.6426582738167292,0.7302934929735561,0.013563031536723051,-0.4281825399294,-0.9111666131014318,95,7153;4436;1503;60386;3416;7555;60481;54982;51015;23457
HALLMARK_PROTEIN_SECRETION,0.68140589569161,0.7571176618795668,0.039040775777130526,0.345943773455221,0.9058931654801725,93,3382;2581;1203;9367;9871;7103;1182;5066;3920;8417;8615;27236;26286;51606;10040;23673;967;2778;8546;23041;8773;9525
HALLMARK_ALLOGRAFT_REJECTION,0.8810120811488489,0.9194070978682172,0.007819816238610548,-0.35451955067838964,-0.7817287044957101,146,672;6059;896;4830;6891;11222;1984;8669;2069;4869
HALLMARK_FATTY_ACID_METABOLISM,0.850356294536817,0.9194070978682172,0.04160211472358708,0.3171565596666158,0.8797449343594739,142,23710;3417;3155;58476;5465;57515;3032;210;2954;54884;2180;51;1429;2052
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.8826308139534884,0.9194070978682172,0.00880458961458797,-0.35565637906919767,-0.7561603323288453,94,983;1869;1017;79109;5899;1977;1019;7334;4803;5576;5216;7186;4793;1956;5601;5519;5781
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.9357117626280467,0.9548079210490272,0.024036234864707545,0.3151562418613234,0.7061070538780139,37,10014;6868;7157;1856;10023;79885;8650;23385
HALLMARK_HEDGEHOG_SIGNALING,0.956145330684076,0.956145330684076,0.010042031954487595,-0.3351530759926808,-0.627292090274326,32,1021;7422;7090;5921;8851;8828;2114
