category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,7/783,28/6540,0.25,2.0881226053639845,2.1278356822773006,0.042683967125614564,0.3292394793880085,0.2963102962849624,3133/3593/3382/3134/7124/1363/3553,7
Organismal Systems,Endocrine system,hsa04921,Oxytocin signaling pathway,22/783,126/6540,0.1746031746031746,1.4583713434288148,1.9159169879712223,0.04287922874159869,0.3292394793880085,0.2963102962849624,10398/8605/1827/59283/27092/784/4776/4846/4882/4881/59285/778/1026/5582/196883/23533/91807/93589/815/23236/123745/10368,22
NA,NA,hsa04518,Integrin signaling,23/783,133/6540,0.17293233082706766,1.444415636793132,1.90952885183411,0.04298200715528811,0.3292394793880085,0.2963102962849624,6696/3690/7059/718/55679/3913/3694/3691/1278/1298/1277/3696/3674/5155/7148/1286/7448/5159/9459/1299/1285/7450/10319,23
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,17/783,92/6540,0.18478260869565216,1.5433949691820756,1.9356884006025499,0.04393523764562131,0.3292394793880085,0.2963102962849624,5333/183/7042/84812/5292/4846/1278/1277/6347/7124/1286/3569/5602/23236/3553/1285/1281,17
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,14/783,72/6540,0.19444444444444445,1.6240953597275438,1.963679612209147,0.044001117124437356,0.3292394793880085,0.2963102962849624,245972/7042/54/6347/50617/2920/6352/2921/4050/7124/7097/51561/3569/3553,14
Cellular Processes,Transport and catabolism,hsa04142,Lysosome biogenesis,37/783,234/6540,0.1581196581196581,1.320692929888332,1.84229327127591,0.0447606542974634,0.3292394793880085,0.2963102962849624,1200/245972/26503/8722/53373/58528/135112/1777/4758/54/1519/5660/138050/2581/3373/8120/114881/6272/1203/1509/22901/64121/5476/23461/64798/1520/3425/27074/7942/50617/1512/2517/54785/9476/7098/6556/51296,37
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,13/783,66/6540,0.19696969696969696,1.6451875072564726,1.9427190767013016,0.046671952951250886,0.33583513971443574,0.30224628570260875,489/59283/27092/784/477/7169/6543/59285/778/93589/7139/10368/3270,13
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,6/783,23/6540,0.2608695652173913,2.178910544727636,2.088619578622212,0.048851648015511416,0.34070446293268436,0.30662859917299945,2524/2525/28/53947/6489/124872,6
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,23/783,135/6540,0.17037037037037037,1.4230168866184192,1.831485382135681,0.04973610189679493,0.34070446293268436,0.30662859917299945,6773/3593/4599/4939/4600/4938/7113/317/834/6041/91543/6347/3665/10379/8743/402569/6352/7124/7098/3569/3553/56649/3456,23
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,44/783,288/6540,0.1527777777777778,1.276074925500213,1.7670635062296445,0.05043661233746687,0.34070446293268436,0.30662859917299945,6696/4804/57121/3690/1942/7059/3718/3913/2057/2065/3694/3691/3643/4846/1278/1298/1277/3696/2788/3674/3560/1026/84699/5155/7097/23533/7148/1286/9965/7448/3569/5159/1299/1128/1943/10110/1285/2254/7450/8822/3815/10319/3456/5979,44
Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,9/783,42/6540,0.21428571428571427,1.7898193760262724,1.8936556606214054,0.056912809971440985,0.3742721848439436,0.3368390151402005,57571/113451/4846/6303/1152/112817/1159/26/84735,9
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,21/783,123/6540,0.17073170731707318,1.4260349500046727,1.7590176581269363,0.057764238574272105,0.3742721848439436,0.3368390151402005,183/489/59283/27092/784/477/7169/6543/6324/59285/778/84699/196883/23533/6330/93589/815/23236/7139/10368/3776,21
Metabolism,Metabolism of cofactors and vitamins,hsa00860,Porphyrin metabolism,6/783,24/6540,0.25,2.0881226053639845,1.9693882875366064,0.058798047165815916,0.3742721848439436,0.3368390151402005,2512/645/3162/2495/1356/212,6
Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,12/783,62/6540,0.1935483870967742,1.6166110493140526,1.7989749278352547,0.061195775740207,0.3751074401853429,0.33759073166624914,3690/100133941/2057/928/3674/7124/924/3569/3553/3815/948/921,12
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,12/783,62/6540,0.1935483870967742,1.6166110493140526,1.7989749278352547,0.061195775740207,0.3751074401853429,0.33759073166624914,27445/54795/6844/477/778/5582/84699/196883/815/23236/3782/3780,12
NA,NA,hsa04082,Neuroactive ligand signaling,19/783,111/6540,0.17117117117117117,1.429705567636602,1.6838336811336514,0.06720301416724912,0.40443995798835386,0.3639895312790718,5025/79627/3359/2903/2788/1143/5582/4985/196883/6539/43/57030/6530/23236/1103/1128/2912/2911/2914,19
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,30/783,191/6540,0.15706806282722513,1.3119094902810373,1.6133591038034023,0.07053735012665585,0.4169261230700551,0.37522688131284976,6773/715/716/728/718/3593/629/4599/4939/51065/4600/4938/7113/834/6347/10379/2212/7124/5582/7097/7098/6123/3569/5602/720/721/3553/7450/5648/3456,30
Metabolism,Glycan biosynthesis and metabolism,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,4/783,14/6540,0.2857142857142857,2.3864258347016967,1.9150299061377807,0.0766251534892036,0.4380927349590593,0.39427649544733273,2524/28/53947/6489,4
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,19/783,113/6540,0.168141592920354,1.4044010443156005,1.599137380469253,0.07763753433080227,0.4380927349590593,0.39427649544733273,728/718/3593/5465/83439/6319/1571/2920/2921/7124/23643/3569/3929/5602/720/721/3553/10891/3456,19
Human Diseases,Infectious disease: viral,hsa05162,Measles,18/783,106/6540,0.16981132075471697,1.4183474300585557,1.6013561969240713,0.07808903734919788,0.4380927349590593,0.39427649544733273,6773/868/3593/4599/4939/3718/4600/4938/317/27113/3665/10379/3560/7097/3569/5602/3553/3456,18
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,7/783,32/6540,0.21875,1.8271072796934866,1.7296231731801577,0.08001034857026204,0.4413904229459456,0.3972443621997221,1545/1571/2946/1543/2938/1544/2939,7
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,23/783,143/6540,0.16083916083916083,1.3434075503041019,1.5311865932905673,0.08438805264134071,0.45790894138170124,0.4121107661345888,245972/7042/718/3593/5869/1509/317/1520/50617/64581/2212/22925/7124/7097/51561/3569/7096/3929/5602/815/3553/64127/3456,23
Organismal Systems,Sensory system,hsa04742,Taste transduction,8/783,39/6540,0.20512820512820512,1.713331368503782,1.6476766147674617,0.08701739137962333,0.46456058946218265,0.41809714364063505,6337/3359/196883/23236/954/2911/2914/29850,8
Organismal Systems,Immune system,hsa04611,Platelet activation,18/783,108/6540,0.16666666666666666,1.392081736909323,1.515143992754388,0.09001023401706049,0.4729109120578892,0.42561230120013566,3690/8605/11093/4846/1278/1277/6915/2212/3674/196883/10125/23533/54518/91807/23236/7450/123745/1281,18
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,10/783,53/6540,0.18867924528301888,1.5759415889539508,1.5525044763106417,0.09508598483238216,0.4801425328294592,0.43212064490614394,718/3593/317/834/2920/2921/7124/7097/3569/3553,10
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,6/783,27/6540,0.2222222222222222,1.856108982545764,1.6438373040784273,0.09533010750015776,0.4801425328294592,0.43212064490614394,8611/376497/346606/64600/4547/948,6
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,30/783,197/6540,0.15228426395939088,1.27195285605928,1.4292816451007366,0.09652684230492324,0.4801425328294592,0.43212064490614394,4804/5337/8605/1942/8398/5869/22808/6237/23179/4303/3643/2903/2788/25780/5582/5155/10125/9965/25759/5159/5602/1943/5923/64600/2254/8822/123745/3815/8437/51365,30
